"subjectid" "activity" "feature" "mean(measurement)"
1 "walkingupstairs" "tBodyAccstdY" -0.00232026501698113
1 "walkingupstairs" "tBodyAccstdZ" -0.0194792388471698
1 "walkingupstairs" "tGravityAccmeanX" 0.89335109754717
1 "walkingupstairs" "tGravityAccmeanY" -0.362153364339623
1 "walkingupstairs" "tGravityAccmeanZ" -0.075402939754717
1 "walkingupstairs" "tGravityAccstdX" -0.956367027924528
1 "walkingupstairs" "tGravityAccstdY" -0.952849233207547
1 "walkingupstairs" "tGravityAccstdZ" -0.912379410377358
1 "walkingupstairs" "tBodyAccJerkmeanX" 0.101372729922642
1 "walkingupstairs" "tBodyAccJerkmeanY" 0.0194863076188679
1 "walkingupstairs" "tBodyAccJerkmeanZ" -0.0455625449113208
1 "walkingupstairs" "tBodyAccJerkstdX" -0.446843887735849
1 "walkingupstairs" "tBodyAccJerkstdY" -0.378274426037736
1 "walkingupstairs" "tBodyAccJerkstdZ" -0.706593530943396
1 "walkingupstairs" "tBodyGyromeanX" 0.050549379754717
1 "walkingupstairs" "tBodyGyromeanY" -0.166170015088679
1 "walkingupstairs" "tBodyGyromeanZ" 0.0583595463981132
1 "walkingupstairs" "tBodyGyrostdX" -0.544871104528302
1 "walkingupstairs" "tBodyGyrostdY" 0.00410518379811321
1 "walkingupstairs" "tBodyGyrostdZ" -0.50716867490566
1 "walkingupstairs" "tBodyGyroJerkmeanX" -0.122232768011321
1 "walkingupstairs" "tBodyGyroJerkmeanY" -0.0421485884509434
1 "walkingupstairs" "tBodyGyroJerkmeanZ" -0.0407125527654717
1 "walkingupstairs" "tBodyGyroJerkstdX" -0.614786508490566
1 "walkingupstairs" "tBodyGyroJerkstdY" -0.601696656226415
1 "walkingupstairs" "tBodyGyroJerkstdZ" -0.606332002264151
1 "walkingupstairs" "tBodyAccMagmean" -0.129927630735849
1 "walkingupstairs" "tBodyAccMagstd" -0.324970929245283
1 "walkingupstairs" "tGravityAccMagmean" -0.129927630735849
1 "walkingupstairs" "tGravityAccMagstd" -0.324970929245283
1 "walkingupstairs" "tBodyAccJerkMagmean" -0.466503446226415
1 "walkingupstairs" "tBodyAccJerkMagstd" -0.478991622075472
1 "walkingupstairs" "tBodyGyroMagmean" -0.126735589969811
1 "walkingupstairs" "tBodyGyroMagstd" -0.14861931805283
1 "walkingupstairs" "tBodyGyroJerkMagmean" -0.59488286509434
1 "walkingupstairs" "tBodyGyroJerkMagstd" -0.648553044339623
1 "walkingupstairs" "fBodyAccmeanX" -0.404321784150943
1 "walkingupstairs" "fBodyAccmeanY" -0.190976720811321
1 "walkingupstairs" "fBodyAccmeanZ" -0.433349702075472
1 "walkingupstairs" "fBodyAccstdX" -0.337428188679245
1 "walkingupstairs" "fBodyAccstdY" 0.0217695106566038
1 "walkingupstairs" "fBodyAccstdZ" 0.0859565543849057
1 "walkingupstairs" "fBodyAccmeanFreqX" -0.418735000377359
1 "walkingupstairs" "fBodyAccmeanFreqY" -0.160697213516981
1 "walkingupstairs" "fBodyAccmeanFreqZ" -0.520114793584906
1 "walkingupstairs" "fBodyAccJerkmeanX" -0.479875245660377
1 "walkingupstairs" "fBodyAccJerkmeanY" -0.41344458754717
1 "walkingupstairs" "fBodyAccJerkmeanZ" -0.685474353962264
1 "walkingupstairs" "fBodyAccJerkstdX" -0.461907025849057
1 "walkingupstairs" "fBodyAccJerkstdY" -0.381777065283019
1 "walkingupstairs" "fBodyAccJerkstdZ" -0.726040200754717
1 "walkingupstairs" "fBodyAccJerkmeanFreqX" -0.377023128301887
1 "walkingupstairs" "fBodyAccJerkmeanFreqY" -0.509495531698113
1 "walkingupstairs" "fBodyAccJerkmeanFreqZ" -0.551104284150943
1 "walkingupstairs" "fBodyGyromeanX" -0.492611667924528
1 "walkingupstairs" "fBodyGyromeanY" -0.319474609056604
1 "walkingupstairs" "fBodyGyromeanZ" -0.453597213018868
1 "walkingupstairs" "fBodyGyrostdX" -0.565892490754717
1 "walkingupstairs" "fBodyGyrostdY" 0.151538905566038
1 "walkingupstairs" "fBodyGyrostdZ" -0.57170784
1 "walkingupstairs" "fBodyGyromeanFreqX" -0.187450247737736
1 "walkingupstairs" "fBodyGyromeanFreqY" -0.473574786603774
1 "walkingupstairs" "fBodyGyromeanFreqZ" -0.133373904258491
1 "walkingupstairs" "fBodyAccMagmean" -0.352395944716981
1 "walkingupstairs" "fBodyAccMagstd" -0.416260101509434
1 "walkingupstairs" "fBodyAccMagmeanFreq" -0.0977433496415094
1 "walkingupstairs" "fBodyBodyAccJerkMagmean" -0.44265216245283
1 "walkingupstairs" "fBodyBodyAccJerkMagstd" -0.533059853773585
1 "walkingupstairs" "fBodyBodyAccJerkMagmeanFreq" 0.085352409154717
1 "walkingupstairs" "fBodyBodyGyroMagmean" -0.325961457396226
1 "walkingupstairs" "fBodyBodyGyroMagstd" -0.182985518264151
1 "walkingupstairs" "fBodyBodyGyroMagmeanFreq" -0.219303376110566
1 "walkingupstairs" "fBodyBodyGyroJerkMagmean" -0.634665082075472
1 "walkingupstairs" "fBodyBodyGyroJerkMagstd" -0.693930521509434
1 "walkingupstairs" "fBodyBodyGyroJerkMagmeanFreq" 0.114277342454717
1 "walkingupstairs" "angletBodyAccMeangravity" 0.0960860761792453
1 "walkingupstairs" "angletBodyAccJerkMeangravityMean" -0.0610838413018868
1 "walkingupstairs" "angletBodyGyroMeangravityMean" -0.194699963113208
1 "walkingupstairs" "angletBodyGyroJerkMeangravityMean" 0.0656835692641509
1 "walkingupstairs" "angleXgravityMean" -0.647195664339623
1 "walkingupstairs" "angleYgravityMean" 0.334763277358491
1 "walkingupstairs" "angleZgravityMean" 0.0741663682075472
1 "walkingdownstairs" "tBodyAccmeanX" 0.289188320408163
1 "walkingdownstairs" "tBodyAccmeanY" -0.00991850461020408
1 "walkingdownstairs" "tBodyAccmeanZ" -0.107566190908163
1 "walkingdownstairs" "tBodyAccstdX" 0.0300353383483878
1 "walkingdownstairs" "tBodyAccstdY" -0.0319359434489796
1 "walkingdownstairs" "tBodyAccstdZ" -0.230434213204082
1 "walkingdownstairs" "tGravityAccmeanX" 0.931874418979592
1 "walkingdownstairs" "tGravityAccmeanY" -0.266610338979592
1 "walkingdownstairs" "tGravityAccmeanZ" -0.0621199585938775
1 "walkingdownstairs" "tGravityAccstdX" -0.950559811632653
1 "walkingdownstairs" "tGravityAccstdY" -0.937018658979592
1 "walkingdownstairs" "tGravityAccstdZ" -0.895939695102041
1 "walkingdownstairs" "tBodyAccJerkmeanX" 0.0541553164897959
1 "walkingdownstairs" "tBodyAccJerkmeanY" 0.0296504490408163
1 "walkingdownstairs" "tBodyAccJerkmeanZ" -0.0109719730183673
1 "walkingdownstairs" "tBodyAccJerkstdX" -0.012283860544898
1 "walkingdownstairs" "tBodyAccJerkstdY" -0.101601390640816
1 "walkingdownstairs" "tBodyAccJerkstdZ" -0.345735032326531
1 "walkingdownstairs" "tBodyGyromeanX" -0.0350781902989796
1 "walkingdownstairs" "tBodyGyromeanY" -0.0909371290204082
1 "walkingdownstairs" "tBodyGyromeanZ" 0.0900850142030612
1 "walkingdownstairs" "tBodyGyrostdX" -0.458030542938775
1 "walkingdownstairs" "tBodyGyrostdY" -0.126349194938775
1 "walkingdownstairs" "tBodyGyrostdZ" -0.124702454242857
1 "walkingdownstairs" "tBodyGyroJerkmeanX" -0.0739592036271429
1 "walkingdownstairs" "tBodyGyroJerkmeanY" -0.0439902783367347
1 "walkingdownstairs" "tBodyGyroJerkmeanZ" -0.0270461061061224
1 "walkingdownstairs" "tBodyGyroJerkstdX" -0.487027342244898
1 "walkingdownstairs" "tBodyGyroJerkstdY" -0.238824827530612
1 "walkingdownstairs" "tBodyGyroJerkstdZ" -0.268761480242857
1 "walkingdownstairs" "tBodyAccMagmean" 0.0271882914106122
1 "walkingdownstairs" "tBodyAccMagstd" 0.0198843506265306
1 "walkingdownstairs" "tGravityAccMagmean" 0.0271882914106122
1 "walkingdownstairs" "tGravityAccMagstd" 0.0198843506265306
1 "walkingdownstairs" "tBodyAccJerkMagmean" -0.0894474807979592
1 "walkingdownstairs" "tBodyAccJerkMagstd" -0.0257877197081633
1 "walkingdownstairs" "tBodyGyroMagmean" -0.0757412543673469
1 "walkingdownstairs" "tBodyGyroMagstd" -0.225724368061224
1 "walkingdownstairs" "tBodyGyroJerkMagmean" -0.295463843346939
1 "walkingdownstairs" "tBodyGyroJerkMagstd" -0.306510645530612
1 "walkingdownstairs" "fBodyAccmeanX" 0.0382291831510204
1 "walkingdownstairs" "fBodyAccmeanY" 0.00154990783591837
1 "walkingdownstairs" "fBodyAccmeanZ" -0.225574471693878
1 "walkingdownstairs" "fBodyAccstdX" 0.0243308391387755
1 "walkingdownstairs" "fBodyAccstdY" -0.112963739953061
1 "walkingdownstairs" "fBodyAccstdZ" -0.297927894693878
1 "walkingdownstairs" "fBodyAccmeanFreqX" -0.307395198687755
1 "walkingdownstairs" "fBodyAccmeanFreqY" 0.0632200839346939
1 "walkingdownstairs" "fBodyAccmeanFreqZ" 0.294322700810612
1 "walkingdownstairs" "fBodyAccJerkmeanX" -0.0276638676122449
1 "walkingdownstairs" "fBodyAccJerkmeanY" -0.12866715764898
1 "walkingdownstairs" "fBodyAccJerkmeanZ" -0.288334735714286
1 "walkingdownstairs" "fBodyAccJerkstdX" -0.0863278966402041
1 "walkingdownstairs" "fBodyAccJerkstdY" -0.134580008877551
1 "walkingdownstairs" "fBodyAccJerkstdZ" -0.401721464285714
1 "walkingdownstairs" "fBodyAccJerkmeanFreqX" -0.253164344918367
1 "walkingdownstairs" "fBodyAccJerkmeanFreqY" -0.33758970122449
1 "walkingdownstairs" "fBodyAccJerkmeanFreqZ" 0.00937223889183673
1 "walkingdownstairs" "fBodyGyromeanX" -0.352449631363265
1 "walkingdownstairs" "fBodyGyromeanY" -0.0557022524693878
1 "walkingdownstairs" "fBodyGyromeanZ" -0.0318694271979592
1 "walkingdownstairs" "fBodyGyrostdX" -0.495422486102041
1 "walkingdownstairs" "fBodyGyrostdY" -0.181414728657143
1 "walkingdownstairs" "fBodyGyrostdZ" -0.238443565306122
1 "walkingdownstairs" "fBodyGyromeanFreqX" -0.100453729040816
1 "walkingdownstairs" "fBodyGyromeanFreqY" 0.0825511487183673
1 "walkingdownstairs" "fBodyGyromeanFreqZ" -0.0756762067714286
1 "walkingdownstairs" "fBodyAccMagmean" 0.0965845343040816
1 "walkingdownstairs" "fBodyAccMagstd" -0.186530301073469
1 "walkingdownstairs" "fBodyAccMagmeanFreq" 0.119187142767959
1 "walkingdownstairs" "fBodyBodyAccJerkMagmean" 0.0262184949326531
1 "walkingdownstairs" "fBodyBodyAccJerkMagstd" -0.104052260726531
1 "walkingdownstairs" "fBodyBodyAccJerkMagmeanFreq" 0.0764915474326531
1 "walkingdownstairs" "fBodyBodyGyroMagmean" -0.185720285744898
1 "walkingdownstairs" "fBodyBodyGyroMagstd" -0.398350390122449
1 "walkingdownstairs" "fBodyBodyGyroMagmeanFreq" 0.349613895469388
1 "walkingdownstairs" "fBodyBodyGyroJerkMagmean" -0.281963359177551
1 "walkingdownstairs" "fBodyBodyGyroJerkMagstd" -0.391919876612245
1 "walkingdownstairs" "fBodyBodyGyroJerkMagmeanFreq" 0.190000706165102
1 "walkingdownstairs" "angletBodyAccMeangravity" -0.00269512515918367
1 "walkingdownstairs" "angletBodyAccJerkMeangravityMean" 0.0899316865510204
1 "walkingdownstairs" "angletBodyGyroMeangravityMean" 0.0633382849183673
1 "walkingdownstairs" "angletBodyGyroJerkMeangravityMean" -0.0399768458163265
1 "walkingdownstairs" "angleXgravityMean" -0.744483753469388
1 "walkingdownstairs" "angleYgravityMean" 0.267245784693878
1 "walkingdownstairs" "angleZgravityMean" 0.0650047072244898
1 "sitting" "tBodyAccmeanX" 0.261237565425532
1 "sitting" "tBodyAccmeanY" -0.00130828765170213
1 "sitting" "tBodyAccmeanZ" -0.104544182255319
1 "sitting" "tBodyAccstdX" -0.977229008297872
1 "sitting" "tBodyAccstdY" -0.922618641914894
1 "sitting" "tBodyAccstdZ" -0.93958629106383
1 "sitting" "tGravityAccmeanX" 0.831509933404255
1 "sitting" "tGravityAccmeanY" 0.204411592680851
1 "sitting" "tGravityAccmeanZ" 0.332043702765957
1 "sitting" "tGravityAccstdX" -0.968457145744681
1 "sitting" "tGravityAccstdY" -0.935517055957447
1 "sitting" "tGravityAccstdZ" -0.949040933191489
1 "sitting" "tBodyAccJerkmeanX" 0.0774825199574468
1 "sitting" "tBodyAccJerkmeanY" -0.000619102785106384
1 "sitting" "tBodyAccJerkmeanZ" -0.00336779235021277
1 "sitting" "tBodyAccJerkstdX" -0.986430711276596
1 "sitting" "tBodyAccJerkstdY" -0.981371965319149
1 "sitting" "tBodyAccJerkstdZ" -0.987910804468085
1 "sitting" "tBodyGyromeanX" -0.045350056512766
1 "sitting" "tBodyGyromeanY" -0.0919241549361702
1 "sitting" "tBodyGyromeanZ" 0.0629313811914894
1 "sitting" "tBodyGyrostdX" -0.977211283191489
1 "sitting" "tBodyGyrostdY" -0.966473895319149
1 "sitting" "tBodyGyrostdZ" -0.941425920851064
1 "sitting" "tBodyGyroJerkmeanX" -0.0936793807234043
1 "sitting" "tBodyGyroJerkmeanY" -0.0402118124255319
1 "sitting" "tBodyGyroJerkmeanZ" -0.046702627
1 "sitting" "tBodyGyroJerkstdX" -0.99173159212766
1 "sitting" "tBodyGyroJerkstdY" -0.989518068510638
1 "sitting" "tBodyGyroJerkstdZ" -0.987935806382979
1 "sitting" "tBodyAccMagmean" -0.948536786170213
1 "sitting" "tBodyAccMagstd" -0.927078418723404
1 "sitting" "tGravityAccMagmean" -0.948536786170213
1 "sitting" "tGravityAccMagstd" -0.927078418723404
1 "sitting" "tBodyAccJerkMagmean" -0.987364195531915
1 "sitting" "tBodyAccJerkMagstd" -0.984120024042553
1 "sitting" "tBodyGyroMagmean" -0.93089249
1 "sitting" "tBodyGyroMagstd" -0.934531840425532
1 "sitting" "tBodyGyroJerkMagmean" -0.991976341276596
1 "sitting" "tBodyGyroJerkMagstd" -0.988308728510638
1 "sitting" "fBodyAccmeanX" -0.979641238723404
1 "sitting" "fBodyAccmeanY" -0.944084550425532
1 "sitting" "fBodyAccmeanZ" -0.959184889148936
1 "sitting" "fBodyAccstdX" -0.976412313191489
1 "sitting" "fBodyAccstdY" -0.917275006382979
1 "sitting" "fBodyAccstdZ" -0.934469558085106
1 "sitting" "fBodyAccmeanFreqX" -0.0495135975489362
1 "sitting" "fBodyAccmeanFreqY" 0.0759460768510638
1 "sitting" "fBodyAccmeanFreqZ" 0.238829870148936
1 "sitting" "fBodyAccJerkmeanX" -0.986597022553191
1 "sitting" "fBodyAccJerkmeanY" -0.981579467021277
1 "sitting" "fBodyAccJerkmeanZ" -0.986053092340425
1 "sitting" "fBodyAccJerkstdX" -0.987492994468085
1 "sitting" "fBodyAccJerkstdY" -0.982513909574468
1 "sitting" "fBodyAccJerkstdZ" -0.988339184893617
1 "sitting" "fBodyAccJerkmeanFreqX" 0.256610823568085
1 "sitting" "fBodyAccJerkmeanFreqY" 0.0475437839595745
1 "sitting" "fBodyAccJerkmeanFreqZ" 0.0923920032553192
1 "sitting" "fBodyGyromeanX" -0.976161464042553
1 "sitting" "fBodyGyromeanY" -0.975838585319149
1 "sitting" "fBodyGyromeanZ" -0.951315544468085
1 "sitting" "fBodyGyrostdX" -0.977904227021277
1 "sitting" "fBodyGyrostdY" -0.962345042553192
1 "sitting" "fBodyGyrostdZ" -0.94391784106383
1 "sitting" "fBodyGyromeanFreqX" 0.189153021260851
1 "sitting" "fBodyGyromeanFreqY" 0.0631270669787234
1 "sitting" "fBodyGyromeanFreqZ" -0.0297839207446809
1 "sitting" "fBodyAccMagmean" -0.947782922553192
1 "sitting" "fBodyAccMagstd" -0.928444801702128
1 "sitting" "fBodyAccMagmeanFreq" 0.236655011680851
1 "sitting" "fBodyBodyAccJerkMagmean" -0.985262126808511
1 "sitting" "fBodyBodyAccJerkMagstd" -0.981606177446808
1 "sitting" "fBodyBodyAccJerkMagmeanFreq" 0.351852201957447
1 "sitting" "fBodyBodyGyroMagmean" -0.958435589361702
1 "sitting" "fBodyBodyGyroMagstd" -0.932198374893617
1 "sitting" "fBodyBodyGyroMagmeanFreq" -0.000262186717021277
1 "sitting" "fBodyBodyGyroJerkMagmean" -0.989797547234043
1 "sitting" "fBodyBodyGyroJerkMagstd" -0.987049617234043
1 "sitting" "fBodyBodyGyroJerkMagmeanFreq" 0.184775928085106
1 "sitting" "angletBodyAccMeangravity" 0.0274415479191489
1 "sitting" "angletBodyAccJerkMeangravityMean" 0.0297097878297872
1 "sitting" "angletBodyGyroMeangravityMean" 0.0676981338723404
1 "sitting" "angletBodyGyroJerkMeangravityMean" -0.064881619087234
1 "sitting" "angleXgravityMean" -0.591247480212766
1 "sitting" "angleYgravityMean" -0.0604660253808511
1 "sitting" "angleZgravityMean" -0.218017225106383
1 "standing" "tBodyAccmeanX" 0.278917629056604
1 "standing" "tBodyAccmeanY" -0.0161375901037736
1 "standing" "tBodyAccmeanZ" -0.110601817735849
1 "standing" "tBodyAccstdX" -0.995759901509434
1 "standing" "tBodyAccstdY" -0.973190056415094
1 "standing" "tBodyAccstdZ" -0.979775876981132
1 "standing" "tGravityAccmeanX" 0.942952000377358
1 "standing" "tGravityAccmeanY" -0.272983832264151
1 "standing" "tGravityAccmeanZ" 0.0134905823226415
1 "standing" "tGravityAccstdX" -0.99376298509434
1 "standing" "tGravityAccstdY" -0.981225957924528
1 "standing" "tGravityAccstdZ" -0.976324063584906
1 "standing" "tBodyAccJerkmeanX" 0.0753766542264151
1 "standing" "tBodyAccJerkmeanY" 0.00797573092830189
1 "standing" "tBodyAccJerkmeanZ" -0.00368524954709434
1 "standing" "tBodyAccJerkstdX" -0.994604542264151
1 "standing" "tBodyAccJerkstdY" -0.98564873245283
1 "standing" "tBodyAccJerkstdZ" -0.992251177358491
1 "standing" "tBodyGyromeanX" -0.0239877347979245
1 "standing" "tBodyGyromeanY" -0.0593972209811321
1 "standing" "tBodyGyromeanZ" 0.074800751
1 "standing" "tBodyGyrostdX" -0.987191946603774
1 "standing" "tBodyGyrostdY" -0.98773444
1 "standing" "tBodyGyrostdZ" -0.980645626981132
1 "standing" "tBodyGyroJerkmeanX" -0.0996092129056604
1 "standing" "tBodyGyroJerkmeanY" -0.0440627877924528
1 "standing" "tBodyGyroJerkmeanZ" -0.0489505466716981
1 "standing" "tBodyGyroJerkstdX" -0.992945106981132
1 "standing" "tBodyGyroJerkstdY" -0.995137917358491
1 "standing" "tBodyGyroJerkstdZ" -0.992108467169811
1 "standing" "tBodyAccMagmean" -0.984278207358491
1 "standing" "tBodyAccMagstd" -0.981942928867925
1 "standing" "tGravityAccMagmean" -0.984278207358491
1 "standing" "tGravityAccMagstd" -0.981942928867925
1 "standing" "tBodyAccJerkMagmean" -0.992367790566038
1 "standing" "tBodyAccJerkMagstd" -0.993096209433962
1 "standing" "tBodyGyroMagmean" -0.976493792830189
1 "standing" "tBodyGyroMagstd" -0.978690028679245
1 "standing" "tBodyGyroJerkMagmean" -0.994966790566038
1 "standing" "tBodyGyroJerkMagstd" -0.994733238679245
1 "standing" "fBodyAccmeanX" -0.995249932641509
1 "standing" "fBodyAccmeanY" -0.977070847735849
1 "standing" "fBodyAccmeanZ" -0.985297098679245
1 "standing" "fBodyAccstdX" -0.99602834509434
1 "standing" "fBodyAccstdY" -0.972293102075472
1 "standing" "fBodyAccstdZ" -0.977937259622642
1 "standing" "fBodyAccmeanFreqX" 0.0865153619088679
1 "standing" "fBodyAccmeanFreqY" 0.117478948718868
1 "standing" "fBodyAccmeanFreqZ" 0.244858585792453
1 "standing" "fBodyAccJerkmeanX" -0.994630797358491
1 "standing" "fBodyAccJerkmeanY" -0.985418704528302
1 "standing" "fBodyAccJerkmeanZ" -0.990752166037736
1 "standing" "fBodyAccJerkstdX" -0.995073759245283
1 "standing" "fBodyAccJerkstdY" -0.987018226792453
1 "standing" "fBodyAccJerkstdZ" -0.992349818113208
1 "standing" "fBodyAccJerkmeanFreqX" 0.314182940150943
1 "standing" "fBodyAccJerkmeanFreqY" 0.0391618954943396
1 "standing" "fBodyAccJerkmeanFreqZ" 0.138581478749057
1 "standing" "fBodyGyromeanX" -0.986386786037736
1 "standing" "fBodyGyromeanY" -0.988984455849057
1 "standing" "fBodyGyromeanZ" -0.980773122830189
1 "standing" "fBodyGyrostdX" -0.987497128679245
1 "standing" "fBodyGyrostdY" -0.987107727735849
1 "standing" "fBodyGyrostdZ" -0.98234533
1 "standing" "fBodyGyromeanFreqX" -0.120293020603774
1 "standing" "fBodyGyromeanFreqY" -0.0447191978169811
1 "standing" "fBodyGyromeanFreqZ" 0.100607635139623
1 "standing" "fBodyAccMagmean" -0.985356361132075
1 "standing" "fBodyAccMagstd" -0.982313804716981
1 "standing" "fBodyAccMagmeanFreq" 0.284555290773585
1 "standing" "fBodyBodyAccJerkMagmean" -0.99254247754717
1 "standing" "fBodyBodyAccJerkMagstd" -0.992536003396226
1 "standing" "fBodyBodyAccJerkMagmeanFreq" 0.422220102264151
1 "standing" "fBodyBodyGyroMagmean" -0.984617623396226
1 "standing" "fBodyBodyGyroMagstd" -0.978466072075472
1 "standing" "fBodyBodyGyroMagmeanFreq" -0.0286057725328302
1 "standing" "fBodyBodyGyroJerkMagmean" -0.994815376981132
1 "standing" "fBodyBodyGyroJerkMagstd" -0.994671123207547
1 "standing" "fBodyBodyGyroJerkMagmeanFreq" 0.334498734301887
1 "standing" "angletBodyAccMeangravity" -0.000222340747169812
1 "standing" "angletBodyAccJerkMeangravityMean" 0.021963782690566
1 "standing" "angletBodyGyroMeangravityMean" -0.0337938382037736
1 "standing" "angletBodyGyroJerkMeangravityMean" -0.0279229321962264
1 "standing" "angleXgravityMean" -0.743407887924528
1 "standing" "angleYgravityMean" 0.270175032830189
1 "standing" "angleZgravityMean" 0.0122528503773585
1 "laying" "tBodyAccmeanX" 0.22159824394
1 "laying" "tBodyAccmeanY" -0.0405139534294
1 "laying" "tBodyAccmeanZ" -0.11320355358
1 "laying" "tBodyAccstdX" -0.9280564692
1 "laying" "tBodyAccstdY" -0.83682740562
1 "laying" "tBodyAccstdZ" -0.826061401628
1 "laying" "tGravityAccmeanX" -0.24888179828
1 "laying" "tGravityAccmeanY" 0.70554977346
